Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D35.0mm_P10.00mm_SnapIn,1,4700u,
"C10, C12, C15, C24, C25, C26, C29, C31, C4, C5, C8",0805,11,100n,
"C13, C40, C41",0805,3,1u,
"C14, C17",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1u,
"C16, C20, C27, C43",0805,4,10n,
"C18, C19",0805,2,1n,
"C2, C3, C6, C7",1206,4,1u,
"C21, C22, C38",1206,3,47u,
"C23, C32, C33, C34, C35",0805,5,33n,
"C28, C30, C9",CP_Radial_D5.0mm_P2.50mm,3,20u,
"C36, C37",0805,2,12n,
C42,0805,1,47n,
"C44, C45",0805,2,330p,
D1,D_SOD-123,1,D_TVS,
D2,D_SOD-123,1,6.3V,
"D3, D5, D6",IC4_WP934EB_2GD_KNB,3,LED_Dual_KAKA,
D4,D_SOD-123,1,D_Schottky,
J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
J2,AC3FAH2-F-XLR,1,AC3FAH2-XLR,
L1,MWPY8040,1,100u,C501759
"L2, L3, L4, L5, L6, L7",L_Toroid_Vertical_L22.4mm_W10.2mm_P7.90mm_Vishay_TJ4,6,10u,
Q1,TO-252-3_TabPin4,1,DMP4015SK3,
"Q2, Q3, Q4, Q5",SOT-23,4,DMN10H220L,
"R1, R11, R12, R13, R2, R21, R22, R3, R31, R37, R38, R40, R42, R43, R44, R45, R46, R9",0805,18,10k,
"R10, R8",0805,2,3R3,
"R14, R15, R16, R17, R4",0805,5,0,
"R18, R30",0805,2,30k,
"R19, R35, R5",0805,3,2.7k,
"R20, R25, R28",0805,3,4.7k,
"R23, R26, R32, R33",0805,4,47k,
"R24, R27, R36, R39",0805,4,1k,
R29,0805,1,22k,
R34,0805,1,470,
"R6, R7",0805,2,3.3,
S1,SW_PB400EEQX,1,PB400EEQX,
S2,SW_PB400EEQX,1,PB400OAQX,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,7,TestPoint,
U1,SOP63P810X120-44N,1,TPA3255DDV,
U2,SOT-89-3,1,L78L12_SOT89,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,L78L33_SO8,
"U4, U6, U7",SO-8_3.9x4.9mm_P1.27mm,3,AD8512,
U5,TO-252-5_TabPin6,1,XL7015,
