Designator,Mid X,Mid Y,Rotation,Layer
C1,166.0,-62.4,0.0,top
C10,93.4,-69.4,90.0,top
C12,93.5,-73.0,90.0,top
C13,121.8,-92.8,180.0,top
C14,171.4,-88.6,0.0,top
C15,95.6,-114.6,270.0,top
C16,91.2,-96.2,180.0,top
C17,182.0,-112.0,270.0,top
C18,162.05,-92.75,180.0,top
C19,162.0,-120.5,0.0,top
C2,137.0,-83.275,270.0,top
C20,165.25,-88.75,180.0,top
C21,104.9,-107.6625,90.0,top
C22,107.8,-107.6625,90.0,top
C23,109.1125,-59.75,90.0,top
C24,125.42,-95.0,270.0,top
C25,125.62,-76.4,90.0,top
C26,100.55,-125.825,180.0,top
C27,162.0,-123.0,0.0,top
C28,104.0,-75.6,90.0,top
C29,103.05,-81.0,180.0,top
C3,137.0,-78.475,90.0,top
C30,98.2,-75.6,90.0,top
C31,99.25,-81.0,0.0,top
C32,132.5,-77.5,0.0,top
C33,132.5,-75.5,0.0,top
C34,132.5,-96.25,0.0,top
C35,132.5,-94.25,0.0,top
C36,202.25,-69.5,270.0,top
C37,203.0,-118.0,270.0,top
C38,104.9,-92.1375,270.0,top
C4,95.75,-102.5,90.0,top
C40,121.87,-86.2,180.0,top
C41,121.8,-88.4,180.0,top
C42,121.82,-90.6,180.0,top
C43,90.95,-102.0,0.0,top
C44,103.5,-115.2,90.0,top
C45,105.6,-118.75,90.0,top
C5,113.25,-123.3,270.0,top
C6,137.0,-92.75,270.0,top
C7,137.0,-88.0,90.0,top
C8,102.25,-129.75,0.0,top
C9,88.8,-66.2,0.0,top
D1,81.8,-46.6,0.0,top
D2,93.05,-60.0,180.0,top
D3,74.8947,-65.6634,270.0,top
D4,101.1125,-58.2,0.0,top
D5,75.0947,-90.8634,270.0,top
D6,74.8947,-73.0634,270.0,top
J1,76.65,-55.65,270.0,top
J2,82.0,-117.8,90.0,top
L1,100.5125,-64.6,90.0,top
L2,163.2,-100.2,180.0,top
L3,163.0,-113.2,0.0,top
L4,188.5,-87.0,180.0,top
L5,188.5,-100.75,0.0,top
L6,194.05,-66.0,270.0,top
L7,194.25,-118.5,90.0,top
Q1,90.85,-50.7,90.0,top
Q2,85.5125,-92.2125,0.0,top
Q3,85.6875,-87.2125,0.0,top
Q4,101.5,-91.0,0.0,top
Q5,97.0,-91.0,0.0,top
R1,92.7625,-57.6,180.0,top
R10,158.5,-123.0,180.0,top
R11,95.6,-110.6,270.0,top
R12,103.4,-118.6875,90.0,top
R13,104.4,-112.4,0.0,top
R14,114.5325,-89.6,0.0,top
R15,121.9075,-76.4,0.0,top
R16,121.9075,-78.6,0.0,top
R17,107.6,-54.6,0.0,top
R18,106.9125,-59.7125,90.0,top
R19,107.6,-56.8,0.0,top
R2,89.05,-57.6,180.0,top
R20,100.6,-123.725,0.0,top
R21,91.2,-98.4,0.0,top
R22,96.8875,-121.6,180.0,top
R23,89.5125,-90.9125,180.0,top
R24,89.425,-93.2125,180.0,top
R25,82.4,-91.0,90.0,top
R26,89.6,-88.2125,180.0,top
R27,89.6,-85.7125,180.0,top
R28,82.5125,-87.2125,90.0,top
R29,121.2,-81.8,0.0,top
R3,82.86,-63.86,0.0,top
R30,121.8,-84.0,0.0,top
R31,105.7,-115.2,90.0,top
R32,101.4,-93.9,0.0,top
R33,96.8875,-93.9,0.0,top
R34,82.8,-71.6,180.0,top
R35,82.86,-66.26,0.0,top
R36,123.5,-126.25,0.0,top
R37,120.0,-126.25,0.0,top
R38,120.0,-128.75,180.0,top
R39,123.5,-128.75,180.0,top
R4,114.5325,-87.4,0.0,top
R40,115.25,-127.75,90.0,top
R42,105.25,-126.8375,270.0,top
R43,101.5,-102.5,270.0,top
R44,99.0,-102.5,270.0,top
R45,101.25,-99.0,270.0,top
R46,99.0,-99.0,270.0,top
R5,82.8,-73.6,0.0,top
R6,125.42,-98.6875,90.0,top
R7,125.62,-72.6875,270.0,top
R8,161.6625,-88.75,0.0,top
R9,100.6,-121.625,180.0,top
S1,74.8,-98.8,270.0,top
S2,74.8,-80.0,270.0,top
U1,129.2,-85.8725,0.0,top
U2,89.5,-72.5,0.0,top
U3,101.175,-84.835,270.0,top
U4,99.5875,-116.7,90.0,top
U5,100.9125,-50.8,90.0,top
U6,99.6,-108.0,90.0,top
U7,110.25,-127.8375,0.0,top
